taxid,genome_size,species_name
850,2716766,Fusobacterium mortiferum
851,2180101,Fusobacterium nucleatum
852,2103008,Fusobacterium perfoetens
853,3127383,Faecalibacterium prausnitzii
854,1941804,Fusobacterium russii
855,2481730,Fusobacterium simiae
856,3346458,Fusobacterium varium
858,2015236,Fusobacterium necrogenes
859,2288480,Fusobacterium necrophorum
860,2615003,Fusobacterium periodonticum
861,3537675,Fusobacterium ulcerans
863,2936195,Syntrophomonas wolfei
865,2881049,Pectinatus frisingensis
867,2815061,Ruminobacter amylophilus
873,4200534,Desulfocurvibacter africanus
876,3554892,Desulfovibrio desulfuricans
878,4673595,Solidesulfovibrio fructosivorans
879,3796022,Megalodesulfovibrio gigas
880,4289847,Maridesulfovibrio salexigens
881,3661391,Desulfovibrio vulgaris
894,3851869,Desulfobulbus propionicus
897,4455976,Desulfococcus multivorans
899,3942657,Desulfomicrobium baculatum
901,2582155,Desulfovibrio piger
905,2329769,Acidaminococcus fermentans
907,2566193,Megasphaera elsdenii
912,5011522,Nitrobacter hamburgensis
913,3402093,Nitrobacter winogradskyi
51,11577721,Chondromyces apiculatus
52,11388132,Chondromyces crocatus
54,12059053,Nannocystis exedens
56,13033779,Sorangium cellulosum
63,3787551,Vitreoscilla filiformis
69,6096022,Lysobacter enzymogenes
72,2469862,Simonsiella muelleri
84,3445405,Hyphomicrobium methylovorum
86,3640843,Hyphomonas jannaschiana
94,5827531,Stella humosa
100,4831989,Ancylobacter aquaticus
103,6221030,Flectobacillus major
104,6221273,Cyclobacterium marinum
106,6919729,Runella slithyformis
114,9032617,Gemmata obscuriglobus
120,5460085,Planctopirus limnophila
122,7626893,Gimesia maris
124,6663851,Blastopirellula marina
125,6196199,Pirellula staleyi
128,5529304,Isosphaera pallida
134,4529043,Methylocystis parvus
139,1321434,Borreliella burgdorferi
150,4875193,Spirochaeta isovalerica
154,2560222,Spirochaeta thermophila
156,3621248,Treponema zuelzerae
158,2843201,Treponema denticola
159,3085162,Brachyspira hyodysenteriae
162,3372116,Treponema phagedenis
3034020,5998452,Halovivax sp. TS33
3034023,2811024,Halosegnis sp. DT85
3034026,4695480,Haloglomus sp. DT116
3034143,8760788,Paraflavitalea sp. H1-2-19X
3034147,6326888,Terrimonas sp. H1YJ31
3034150,4122340,Flavipsychrobacter sp. JY13-12
3034152,4373544,Pseudophaeobacter sp. ZH257
3034234,7389381,Streptomyces sp. K1PA1
3034235,7881186,Streptomyces sp. RB6PN23
3034837,5500496,Neobacillus terrae
3036126,4161809,Tepidibacter sp. SWIR-1
3036903,3225479,Robiginitalea sp. M366
3037696,5613239,Ralstonia nicotianae
3038133,2485955,Dubosiella muris
3038144,2550124,Muribaculum caecicola
3038145,3580472,Palleniella muris
3038772,3610406,Tenacibaculum sp. GRR-S3-23
3041001,4581539,Salipaludibacillus sp. DQ-9
3042023,4193932,Luteimonas sp. RD2P54
3042024,3898385,Luteimonas sp. M1R5S18
2601668,616088,Candidatus Nesciobacter abundans
2803181,35953538,Leishmania sp. Ghana 2012 LV757
2809028,2771886,Bifidobacterium santillanense
2922716,4001451,Fundidesulfovibrio soli
2016387,85574030,Ramaria cf. rubripermanens
174587,2762327,Carnobacterium viridans
1436010,2948026,Nesterenkonia aurantiaca
39497,2579248,Eubacterium xylanophilum
36813,5484749,Mycolicibacterium pulveris
302481,3845569,Halobacillus kuroshimensis
634436,4910645,Marisediminitalea aggregata
1031538,3561992,Neptunomonas concharum
2508287,5351123,Pandoraea bronchicola
52764,1659117,Bartonella alsatica
426757,3101161,Bhargavaea ginsengi
932660,4170221,Haloarcula sebkhae
83374,17779841,Galdieria partita
83552,3072383,Parachlamydia acanthamoebae
83554,1179220,Chlamydia psittaci
83555,1149233,Chlamydia abortus
83558,1225935,Chlamydia pneumoniae
83561,2628375,Simkania negevensis
83564,8413530,Desulfosarcina ovata
83615,3416011,Luteimonas mephitis
83617,4001815,Stenotrophomonas nitritireducens
83619,3472589,Pseudoxanthomonas broegbernensis
83627,7622528,Bradyrhizobium genosp. B
83655,4803917,Leclercia adecarboxylata
83656,8019548,Streptomyces tsukubensis
83661,2412168,Desulfonispora thiosulfatigenes
83683,1601193,Lactobacillus amylolyticus
83765,3072471,Formivibrio citricus
83767,4534676,Propionivibrio dicarboxylicus
84110,3166158,Slackia heliotrinireducens
84112,3467966,Eggerthella lenta
84135,1796606,Gemella sanguinis
84136,1604508,Gemella bergeri
84159,4967148,Magnetospirillum magneticum
84163,1617804,Cryptobacterium curtum
84275,34440063,Cercospora kikuchii
84378,3241804,Brachyspira murdochii
84407,4382192,Virgibacillus proomii
84521,1757345,Dolosicoccus paucivorans
84531,5916388,Lysobacter antibioticus
84590,1638559,Taylorella asinigenitalis
84595,5844299,Gordonia polyisoprenivorans
84603,40343159,Agrocybe chaxingu
84607,45149591,Agrocybe pediades
84633,8319149,Kineosporia rhizophila
84647,2847648,Candidatus Odyssella thessalonicensis
84698,4337414,Clostridium frigidicarnis
84725,10685010,Umezawaea tangerina
84751,23305380,Pseudozyma flocculosa
84753,18111965,Moesziomyces antarcticus
84754,17921702,Moesziomyces aphidis
84757,4669183,Beutenbergia cavernae
84962,4335050,Mycobacterium botniense
84980,3.66E+06,Desulfotalea psychrophila
85044,5485430,Williamsia muralis
85075,5266262,Halochromatium glycolicum
85085,4980870,Pseudarthrobacter chlorophenolicus
85325,4033059,Acetobacter sicerae
85336,2526221,Rothia nasimurium
85402,2325038,Mannheimia granulomatis
85404,2131927,Mannheimia varigena
85471,22571969,Plasmodium relictum
85558,10662466,Streptomyces turgidiscabies
85575,1.47E+08,Scutellospora calospora
172,3951448,Leptospira biflexa
173,4630763,Leptospira interrogans
174,3992782,Leptospira borgpetersenii
180,2559538,Leptospirillum ferrooxidans
183,4522760,Leptonema illini
188,4523935,Magnetospirillum magnetotacticum
189,4290651,Novispirillum itersonii
190,2612795,Aquaspirillum serpens
192,7030811,Azospirillum brasilense
193,7987183,Azospirillum lipoferum
195,1716536,Campylobacter coli
196,1804582,Campylobacter fetus
197,1641481,Campylobacter jejuni
199,1840041,Campylobacter concisus
201,1571661,Campylobacter lari
202,1773478,Campylobacter mucosalis
203,2571679,Campylobacter rectus
204,2097887,Campylobacter showae
210,1624458,Helicobacter pylori
213,2101402,Helicobacter cinaedi
214,1672681,Helicobacter felis
215,2223074,Helicobacter fennelliae
217,1576607,Helicobacter mustelae
235,3278307,Brucella abortus
236,3275590,Brucella ovis
238,4004759,Elizabethkingia meningoseptica
244,3434210,Planomicrobium okeanokoites
245,3490856,Flavobacterium aquatile
246,4974086,Chryseobacterium balustinum
247,3792478,Empedobacter brevis
249,4686152,Terrimonas ferruginea
250,4715692,Chryseobacterium gleum
251,3311768,Psychroflexus gondwanensis
253,4929686,Chryseobacterium indologenes
254,4253895,Chryseobacterium indoltheticum
256,4253607,Myroides odoratus
258,5138280,Sphingobacterium spiritivorum
259,5962893,Sphingobacterium thalpophilum
263,1870206,Francisella tularensis
266,5236194,Paracoccus denitrificans
271,2338641,Thermus aquaticus
274,2116056,Thermus thermophilus
3033390,3525489,Halomicroarcula sp. ZS-22-S1
276,2386081,Thermus filiformis
277,3098881,Meiothermus ruber
280,5013287,Xanthobacter autotrophicus
281,5768244,Xanthobacter flavus
285,5497097,Comamonas testosteroni
287,6264404,Pseudomonas aeruginosa
290,3271440,[Pseudomonas] carboxydohydrogena
292,8366868,Burkholderia cepacia
293,3438815,Brevundimonas diminuta
294,6511547,Pseudomonas fluorescens
296,5077209,Pseudomonas fragi
297,2288780,Hydrogenophilus thermoluteolus
298,6942667,Pseudomonas marginalis
300,5372474,Pseudomonas mendocina
301,4686340,Pseudomonas oleovorans
303,6156701,Pseudomonas putida
304,5771016,Pelomonas saccharophila
305,5572607,Ralstonia solanacearum
316,4545686,Stutzerimonas stutzeri
317,5868373,Pseudomonas syringae
329,5254771,Ralstonia pickettii
337,6691685,Burkholderia glumae
339,4942039,Xanthomonas campestris
343,4649333,Xanthomonas translucens
915,2812094,Nitrosomonas europaea
916,2781824,Nitrosomonas eutropha
917,3496909,Nitrosomonas marina
920,3257037,Acidithiobacillus ferrooxidans
921,4765023,Starkeya novella
926,3343428,Thiomonas intermedia
927,2582886,Halothiobacillus neapolitanus
929,2958498,Thermithiobacillus tepidarius
930,3415726,Acidithiobacillus thiooxidans
931,3201518,Thiobacillus thioparus
934,2108215,Thiomicrospira pelophila
948,1481598,Anaplasma phagocytophilum
949,1196811,Anaplasma platys
955,1185354,Wolbachia pipientis
959,3830427,Bdellovibrio bacteriovorus
960,3880871,Bacteriovorax stolpii
964,5392975,Herbaspirillum seropedicae
966,3782189,Oceanospirillum linum
971,3387070,Selenomonas ruminantium
982,5982061,Saccharicrinis fermentans
983,4230539,Flavobacterium flevense
985,4433218,Cytophaga hutchinsonii
986,6096872,Flavobacterium johnsoniae
988,4747764,Leeuwenhoekiella marinoflava
989,4982627,Marinilabilia salmonicolor
990,4380952,Breznakibacter xylanolyticus
991,5902573,Flavobacterium hydatis
995,5202069,Solitalea canadensis
996,3221278,Flavobacterium columnare
997,4030713,Eisenibacter elegans
998,4249974,Flexibacter flexilis
999,4919337,Bernardetia litoralis
1002,4254862,Hugenholtzia roseola
1003,5504183,Thermoflexibacter ruber
1004,8491830,Chitinophaga sancti
1006,4516490,Marivirga tractuosa
1010,4629350,Sphingobacterium mizutaii
1014,2287133,Weeksella virosa
1015,2331468,Bergeyella zoohelcum
1017,2838633,Capnocytophaga gingivalis
1018,2612925,Capnocytophaga ochracea
1019,2855148,Capnocytophaga sputigena
1022,4265146,Beggiatoa alba
1026,5966820,Marinoscillum furvescens
1027,9771226,Microscilla marina
1028,4741005,Marivirga sericea
1031,4691711,Thiothrix nivea
1034,4399548,Afipia clevelandensis
1035,4195257,Afipia felis
1044,3602162,Erythrobacter longus
1048,3830035,Marichromatium gracile
1052,2834560,Halorhodospira halochloris
1053,2678452,Halorhodospira halophila
1054,3788226,Ectothiorhodospira shaposhnikovii
1057,4076754,Thiococcus pfennigii
1058,5386125,Thiocapsa roseopersicina
1061,3871920,Rhodobacter capsulatus
1063,4711139,Cereibacter sphaeroides
1066,3854478,Rhodocyclus tenuis
1067,3617966,Rhodocyclus purpureus
1069,4014469,Rhodomicrobium vannielii
1071,7248147,Rhodopila globiformis
1074,4711496,Rhodoblastus acidophilus
1075,3706095,Fuscovulum blasticum
1076,5457289,Rhodopseudomonas palustris
1079,3724841,Blastochloris viridis
1082,3805060,Magnetospirillum fulvum
1083,3805617,Magnetospirillum molischianum
1084,3876289,Pararhodospirillum photometricum
1085,4352825,Rhodospirillum rubrum
1086,3358756,Rhodothalassium salexigens
1088,5750741,Rhodovibrio sodomensis
1092,2763181,Chlorobium limicola
1094,2094018,Chlorobium phaeovibrioides
1096,3133902,Chlorobium phaeobacteroides
1098,2305678,Prosthecochloris vibrioformis
1112,3090363,Erythrobacter neustonensis
1122,4493232,Aphanothece sacrum
1124,7751745,Chlorogloeopsis fritschii
1126,5263219,Microcystis aeruginosa
1160,4904228,Planktothrix agardhii
1164,5486145,Trichormus azollae
1165,7063285,Anabaena cylindrica
1176,4347270,Aphanizomenon flos-aquae
1178,8198700,Nostoc commune
1179,9635616,Desmonostoc muscorum
1184,6803468,Leptolyngbya boryana
1202,6774485,Leptolyngbya ectocarpi
1206,7750108,Trichodesmium erythraeum
1219,1704176,Prochlorococcus marinus
1223,5646343,Prochlorothrix hollandica
1229,3522111,Nitrosococcus oceani
1231,3234309,Nitrosospira multiformis
1233,3098034,Nitrosovibrio tenuis
1238,3351503,Piscirickettsia salmonis
1244,1893499,Leuconostoc gelidum
1245,2058732,Leuconostoc mesenteroides
1246,1791608,Leuconostoc lactis
1247,1892074,Oenococcus oeni
1249,2052536,Weissella paramesenteroides
1251,1660517,Leuconostoc fallax
1252,1701333,Leuconostoc carnosum
1254,2044083,Pediococcus acidilactici
1255,1832387,Pediococcus pentosaceus
1258,2320207,Peptoniphilus asaccharolyticus
1260,1986740,Finegoldia magna
1261,2083092,Peptostreptococcus anaerobius
1264,4482087,Ruminococcus albus
1265,3587803,Ruminococcus flavefaciens
1267,2457263,Sarcina ventriculi
1270,2543764,Micrococcus luteus
1272,2843576,Kocuria varians
1273,2670883,Micrococcus lylae
1274,3113642,Dermacoccus nishinomiyaensis
1275,3953419,Kocuria rosea
1276,2803893,Kytococcus sedentarius
1280,2821361,Staphylococcus aureus
1281,2576833,Staphylococcus carnosus
1282,2491058,Staphylococcus epidermidis
1283,2560146,Staphylococcus haemolyticus
1284,2472129,Staphylococcus hyicus
1285,2891525,Staphylococcus intermedius
1286,2682239,Staphylococcus simulans
1288,2757557,Staphylococcus xylosus
1290,2257431,Staphylococcus hominis
1292,2541629,Staphylococcus warneri
1293,2880305,Staphylococcus gallinarum
1294,2095116,Staphylococcus muscae
1295,2478823,Staphylococcus schleiferi
1296,2853815,Mammaliicoccus sciuri
1299,3279598,Deinococcus radiodurans
1302,2185555,Streptococcus gordonii
1303,1931548,Streptococcus oralis
1304,2185075,Streptococcus salivarius
1305,2449527,Streptococcus sanguinis
1307,2170808,Streptococcus suis
1308,1791634,Streptococcus thermophilus
1309,2028032,Streptococcus mutans
1310,2145290,Streptococcus sobrinus
1311,2079123,Streptococcus agalactiae
1313,2154362,Streptococcus pneumoniae
1314,1746380,Streptococcus pyogenes
1317,2232110,Streptococcus downei
1318,2170501,Streptococcus parasanguinis
1322,3065949,Blautia hansenii
1323,2055154,Faecalicoccus pleomorphus
1326,2445682,Streptococcus acidominimus
1328,1924513,Streptococcus anginosus
1329,2157617,Streptococcus canis
1333,2431956,Streptococcus criceti
1334,2174327,Streptococcus dysgalactiae
1335,1797051,Streptococcus equinus
1336,2154778,Streptococcus equi
1337,2553358,Streptococcus hyointestinalis
1338,1932951,Streptococcus intermedius
1339,1930691,Streptococcus macacae
1340,1954699,Streptococcus porcinus
1341,2096943,Streptococcus ratti
1343,1882671,Streptococcus vestibularis
1345,1872314,Streptococcus ferus
1346,2078360,Streptococcus iniae
1348,2152278,Streptococcus parauberis
1349,1942125,Streptococcus uberis
1351,2870381,Enterococcus faecalis
1352,2919198,Enterococcus faecium
1353,3614506,Enterococcus gallinarum
1354,2845651,Enterococcus hirae
1355,2545099,Enterococcus columbae
1356,2301651,Enterococcus sulfureus
1358,2639081,Lactococcus lactis
1359,2427048,Lactococcus cremoris
1363,2084337,Lactococcus garvieae
1364,2405003,Lactococcus piscium
1365,1977763,Lactococcus plantarum
1366,2292235,Lactococcus raffinolactis
1371,3266249,Marinococcus halophilus
1374,3485580,Planococcus kocurii
1376,1974262,Aerococcus urinae
1377,2199877,Aerococcus viridans
1379,1926227,Gemella haemolysans
1382,1543805,Lancefieldella parvula
1383,1626291,Lancefieldella rimae
1390,4149690,Bacillus amyloliquefaciens
1391,5042126,Aneurinibacillus aneurinilyticus
1392,5503926,Bacillus anthracis
1393,6726998,Brevibacillus brevis
1396,5836971,Bacillus cereus
1397,5179558,Niallia circulans
1398,3366995,Weizmannia coagulans
1399,4803910,Cytobacillus firmus
1401,7062432,Paenibacillus lautus
1402,4342466,Bacillus licheniformis
1404,5600120,Priestia megaterium
1405,5697065,Bacillus mycoides
1406,5820553,Paenibacillus polymyxa
1407,4681292,Peribacillus psychrosaccharolyticus
1408,3640519,Bacillus pumilus
1411,4740369,Halalkalibacter akibai
1413,4681672,Evansella cellulosilytica
1418,4534596,Caldalkalibacillus mannanilyticus
1421,4739908,Lysinibacillus sphaericus
1422,2744723,Geobacillus stearothermophilus
1423,4215606,Bacillus subtilis
1426,4004923,Parageobacillus thermoglucosidasius
1428,6260142,Bacillus thuringiensis
1445,4210001,Alkalihalobacillus alcalophilus
1449,2569486,Amphibacillus xylanus
1450,4346939,Alicyclobacillus acidoterrestris
1451,7185334,Paenibacillus amylolyticus
1452,4175060,Bacillus atrophaeus
1454,4472104,Schinkia azotoformans
1455,4289048,Bacillus badius
1456,4701532,Bacillus benzoevorans
1457,3617228,Alicyclobacillus cycloheptanicus
1458,4410645,Metabacillus fastidiosus
1459,5673948,Sporosarcina globispora
1461,3288307,Psychrobacillus insolitus
1462,3592666,Geobacillus kaustophilus
1464,4378174,Paenibacillus larvae
1465,5400144,Brevibacillus laterosporus
1467,4384366,Lederbergia lenta
1471,3426513,Bacillus methanolicus
1472,7329063,Paenibacillus pabuli
1473,4761851,Virgibacillus pantothenticus
1474,3253966,Sporosarcina pasteurii
1476,4674191,Sporosarcina psychrophila
1478,5645783,Peribacillus simplex
1479,3381292,Bacillus smithii
1482,3917759,Virgibacillus halodenitrificans
1490,3566216,Paraclostridium bifermentans
1491,3903260,Clostridium botulinum
1492,4639914,Clostridium butyricum
1493,5262222,Clostridium cellulovorans
1494,2435419,Clostridium cochlearium
1495,2735032,Clostridium cylindrosporum
1496,4095894,Clostridioides difficile
1498,2740791,Hathewaya histolytica
1499,4469680,Ruminiclostridium josui
1501,4351863,Clostridium pasteurianum
1502,3275424,Clostridium perfringens
1505,3584812,Paeniclostridium sordellii
1509,4246123,Clostridium sporogenes
83378,7896808,Streptomyces ruber
405,2971517,Methylobacillus flagellatus
406,3248999,Methylobacillus glycogenes
408,6123851,Methylorubrum extorquens
410,5319780,Methylobacterium organophilum
414,3304561,Methylococcus capsulatus
415,5029135,Methylobacter luteus
421,5023270,Methylomonas methanica
436,3549186,Novacetimonas hansenii
1510,2974379,Thermoclostridium stercorarium
1511,2715461,Acetoanaerobium sticklandii
1512,5072209,[Clostridium] symbiosum
1513,2873333,Clostridium tetani
1515,3577579,Acetivibrio thermocellus
1517,2894276,Thermoanaerobacterium thermosaccharolyticum
1519,3134437,Clostridium tyrobutyricum
1520,5950247,Clostridium beijerinckii
1525,2623349,Moorella thermoacetica
1526,3113820,[Clostridium] aminophilum
1527,4589939,Anaerocolumna aminovalerica
1528,2954329,Eubacterium barkeri
1529,3625784,Clostridium cadaveris
1531,5539047,Enterocloster clostridioformis
1532,6115043,Blautia coccoides
1533,2747337,Clostridium fallax
1534,3955303,Clostridium kluyveri
1537,3782458,Romboutsia lituseburensis
1540,3023790,Clostridioides mangenotii
1541,4064271,Terrisporobacter mayombei
1542,2499078,Clostridium novyi
1544,5717637,Faecalicatena orotica
1547,3543719,Thomasclavelia ramosa
1548,5749410,Clostridium scatologenes
1553,4475070,Clostridium tetanomorphum
1556,3108248,Gottschalkia acidurici
1557,3404633,Peptoclostridium litorale
1559,3813122,Clostridium tertium
1561,3211717,Clostridium baratii
1563,5863081,Desulfosporosinus orientis
1564,3969014,Desulforamulus ruminis
1565,3052787,Desulfotomaculum nigrificans
1570,4170008,Halobacillus halophilus
1575,2686418,Leifsonia xyli
1579,1991579,Lactobacillus acidophilus
1580,2529623,Levilactobacillus brevis
1581,2537205,Lentilactobacillus buchneri
1582,2952961,Lacticaseibacillus casei
1583,2216758,Weissella confusa
1584,1891796,Lactobacillus delbrueckii
1587,2055814,Lactobacillus helveticus
1588,3190226,Lentilactobacillus hilgardii
1589,3671373,Lactiplantibacillus pentosus
1590,3223643,Lactiplantibacillus plantarum
1596,1892784,Lactobacillus gasseri
1597,3025352,Lacticaseibacillus paracasei
1598,2220255,Limosilactobacillus reuteri
1599,2018071,Latilactobacillus sakei
1600,1683905,Lactobacillus acetotolerans
1601,2162388,Ligilactobacillus agilis
1604,1977087,Lactobacillus amylovorus
1605,1906794,Ligilactobacillus animalis
1606,1680526,Ligilactobacillus aviarius
1607,3274863,Loigolactobacillus bifermentans
1610,2951508,Loigolactobacillus coryniformis
1612,2551839,Companilactobacillus farciminis
1613,2103331,Limosilactobacillus fermentum
1614,1332231,Fructilactobacillus fructivorans
1615,1358385,Weissella halotolerans
1616,1334438,Weissella kandleri
1618,2611959,Liquorilactobacillus mali
1620,1768499,Weissella minor
1622,2290452,Ligilactobacillus murinus
1623,2066652,Ligilactobacillus ruminis
1624,2071255,Ligilactobacillus salivarius
1625,1310991,Fructilactobacillus sanfranciscensis
1626,2444304,Lacticaseibacillus sharpeae
1629,1593241,Weissella viridescens
1630,2036146,Kandleria vitulina
1631,1401260,Fructobacillus fructosus
1632,2007883,Limosilactobacillus oris
1633,1883554,Limosilactobacillus vaginalis
1638,2919548,Listeria ivanovii
1639,2944528,Listeria monocytogenes
1640,2797636,Listeria seeligeri
1641,2751104,Listeria grayi
1642,2922148,Listeria innocua
1643,2814137,Listeria welshimeri
1646,3155250,Renibacterium salmoninarum
1648,1787941,Erysipelothrix rhusiopathiae
1650,2991625,Kurthia zopfii
1652,1806596,Alloiococcus otitis
1655,3152123,Actinomyces naeslundii
1656,3491241,Actinomyces viscosus
1657,2368602,Actinobaculum suis
1659,3980311,Actinomyces israelii
1660,2454426,Schaalia odontolytica
1661,2338390,Trueperella pyogenes
1664,4249516,Arthrobacter glacialis
1665,4954410,Arthrobacter globiformis
1670,3553729,Arthrobacter citreus
1671,4440103,Pseudarthrobacter oxydans
1672,5245857,Arthrobacter ramosus
1673,7069622,Rhizobium viscosum
1677,4634886,Arthrobacter pascens
1680,2192428,Bifidobacterium adolescentis
1681,2216395,Bifidobacterium bifidum
1683,2021974,Bifidobacterium angulatum
1684,2167304,Bifidobacterium asteroides
1685,2336700,Bifidobacterium breve
1686,2079525,Bifidobacterium catenulatum
1688,2531592,Bifidobacterium cuniculi
1689,2642081,Bifidobacterium dentium
1692,1825255,Bifidobacterium magnum
1693,1867315,Bifidobacterium minimum
1694,1978157,Bifidobacterium pseudolongum
1697,2790185,Corynebacterium ammoniagenes
1698,3703261,Brevibacterium epidermidis
1703,3814300,Brevibacterium linens
1705,2862233,Corynebacterium stationis
1708,4266344,Cellulomonas fimi
1709,4376879,Cellulomonas biazotea
1710,4411608,Cellulosimicrobium cellulans
1711,4123179,Cellulomonas flavigena
1714,3563272,Cellulomonas uda
1717,2407586,Corynebacterium diphtheriae
1718,3350619,Corynebacterium glutamicum
1719,2337866,Corynebacterium pseudotuberculosis
1721,2928683,Corynebacterium callunae
1724,2335089,Corynebacterium renale
1725,2738835,Corynebacterium xerosis
1727,3192709,Corynebacterium variabile
1731,3055036,Peptoclostridium acidaminophilum
1732,2912287,Eubacterium oxidoreducens
1735,2477128,Holdemanella biformis
1736,4422837,Eubacterium limosum
1741,1764045,Thermodesulfobacterium commune
1744,2507188,Propionibacterium freudenreichii
1747,2549775,Cutibacterium acnes
1748,3651382,Acidipropionibacterium acidipropionici
1749,2999408,Acidipropionibacterium jensenii
1750,3402349,Arachnia propionica
1751,2938072,Acidipropionibacterium thoenii
1753,2789160,Propioniferax innocua
1764,5173839,Mycobacterium avium
1766,6413573,Mycolicibacterium fortuitum
1767,5645778,Mycobacterium intracellulare
1768,6577228,Mycobacterium kansasii
1769,3187112,Mycobacterium leprae
1771,5313907,Mycolicibacterium phlei
1772,6995345,Mycolicibacterium smegmatis
1773,4411532,Mycobacterium tuberculosis
1774,5029817,Mycobacteroides chelonae
1775,5318517,Mycobacterium cookii
1776,5973421,Mycolicibacterium flavescens
1777,5816659,Mycobacterium gastri
1778,7601632,Mycobacterium gordonae
1779,6920863,Mycolicibacterium komossense
1780,5319859,Mycobacterium malmoense
1781,6450522,Mycobacterium marinum
1783,6170273,Mycobacterium scrofulaceum
1784,5788994,Mycobacterium simiae
1786,6066978,Mycolicibacterium sphagni
1788,4532317,Mycolicibacter terrae
1789,5251936,Mycobacterium xenopi
1790,5969538,Mycobacterium asiaticum
1791,6035584,Mycolicibacterium aurum
1792,5461769,Mycolicibacterium chitae
1793,4156821,Mycolicibacterium fallax
1794,5964999,Mycolicibacterium gadium
1795,5756799,Mycolicibacterium neoaurum
1796,6086722,Mycolicibacterium senegalense
1797,4950685,Mycolicibacterium thermoresistibile
1798,3591083,Mycolicibacillus trivialis
1800,6021188,Mycolicibacterium chubuense
1801,5998503,Mycolicibacterium diernhoferi
1802,6607534,Mycolicibacterium farcinogenes
1804,5783292,Mycolicibacterium gilvum
1807,5599206,Mycolicibacterium obuense
1809,5789332,Mycobacterium ulcerans
1810,6235754,Mycolicibacterium vaccae
1814,7196860,Amycolatopsis methanolica
1816,7042850,Actinokineospora fastidiosa
1823,7687583,Nocardia otitidiscaviarum
1824,6983363,Nocardia asteroides
1828,5502110,Rhodococcus fascians
1829,5612657,Rhodococcus rhodochrous
1830,5698851,Rhodococcus ruber
1833,6806506,Rhodococcus erythropolis
1836,8212805,Saccharopolyspora erythraea
1837,7549392,Saccharopolyspora hirsuta
1838,5783988,Saccharopolyspora hordei
1841,5655249,Nocardioides albus
1843,5102139,Nocardioides jensenii
1844,4956498,Nocardioides luteus
1848,6098214,Pseudonocardia thermophila
